recipe_name;image;time;calories;portions;ingredients;process
Брауни (brownie);https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082850/120213184522/p_O.jpg;40;676;6;"Темный шоколад:100 г;Сливочное масло:180 г;Коричневый сахар:200 г;Куриное яйцо:4 штуки;Пшеничная мука:100 г;Грецкие орехи:100 г;";Шоколад разломать на кусочки и вместе со сливочным маслом растопить на водяной бане, не переставая все время помешивать лопаткой или деревянной ложкой. Получившийся густой шоколадный соус снять с водяной бани и оставить остывать.Тем временем смешать яйца со ста граммами коричневого сахара: яйца разбить в отдельную миску и взбить, постепенно добавляя сахар. Взбивать можно при помощи миксера или вручную — как больше нравится, — но не меньше двух с половиной-трех минут.Острым ножом на разделочной доске порубить грецкие орехи. Предварительно их можно поджарить на сухой сковороде до появления аромата, но это необязательная опция.В остывший растопленный со сливочным маслом шоколад аккуратно добавить оставшийся сахар, затем муку и измельченные орехи и все хорошо перемешать венчиком.Затем влить сахарно-яичную смесь и тщательно смешать с шоколадной массой. Цвет у теста должен получиться равномерным, без разводов.Разогреть духовку до 200 градусов. Дно небольшой глубокой огнеупорной формы выстелить листом бумаги для выпечки или калькой. Перелить тесто в форму. Поставить в духовку и выпекать двадцать пять — тридцать минут до появления сахарной корочки.Готовый пирог вытащить из духовки, дать остыть и нарезать на квадратики острым ножом или ножом для пиццы — так кусочки получатся особенно ровными.Подавать брауни можно просто так, а можно посыпать сверху сахарной пудрой или разложить квадратики по тарелкам и украсить каждую порцию шариком ванильного мороженого.
Сырники из творога;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082509/120213181141/p_O.jpg;30;1029;2;"Творог:500 г;Куриное яйцо:2 штуки;Пшеничная мука:6 столовых ложек;Сахар:2 столовые ложки;Подсолнечное масло:5 столовых ложек;";Положите весь творог в кастрюльку и разомните его вилкой так, чтобы в нем не осталось крупных комков. Разбейте в него яйца, всыпьте сахар и тщательно все перемешайте. Лучше не использовать слишком сухой или слишком влажный творог, иначе сырники будут разваливаться в процессе приготовления.Всыпьте в творог 5 столовых ложек (с горкой) муки и тщательно перемешайте. Можно добавить немного больше муки, сырники получатся тогда более плотными. Или муки можно добавить чуть меньше, и тогда сырники будут нежнее. В итоге у вас должна получиться однородная масса, из которой можно будет лепить сырники.Поставьте сковороду на средний огонь и налейте в нее подсолнечное масло.Насыпьте на тарелку немного муки. Слепите несколько небольших шариков из получившейся творожной массы и положите их на тарелку. Лучше лепить разом 4–5 шариков — столько, сколько поместится одновременно на сковороду. Затем по очереди обкатывайте творожные шарики в муке, плющите их в небольшие лепешки (они не должны быть слишком тонкие) и выкладывайте на сковороду.Обжаривайте сырники 1–2 минуты до появления золотистой корочки. Затем переверните их на другую сторону и также обжарьте до золотистого состояния.Повторяйте, пока творог не закончится.
Спагетти карбонара с красным луком;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213175727/120213180114/p_O.jpg;20;1158;2;"Спагетти:250 г;Сливочное масло:20 г;Чеснок:2 зубчика;Красный лук:1 головка;Бекон:50 г;Сливки 20%-ные:200 мл;Тертый сыр пармезан :50 г;Куриное яйцо:4 штуки;Соль:по вкусу;Молотый черный перец:по вкусу;";Вскипятите воду в большой кастрюле и сварите пасту до состояния аль денте. Обычно для этого нужно варить ее на минуту меньше, чем указано на пачке.Пока паста варится, растопите на сковороде масло и обжарьте на нем мелко нарезанные лук, чеснок и бекон. До мягкости и до отчетливого чесночного и жаренобеконного запаха.Снимите сковороду с огня и в глубокой миске взбейте четыре яичных желтка со сливками и тертым пармезаном. Посолите и поперчите смесь, еще раз взбейте.В готовые спагетти вывалите обжаренные с луком и чесноком кусочки бекона. Влейте смесь сливок, желтков и пармезана, перемешайте. И сразу подавайте, посыпав свеженатертым сыром и черным молотым перцем.
Классическая шарлотка;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082312/120213185954/p_O.jpg;35;217;12;"Сахар:1 стакан;Куриное яйцо:5 штук;Пшеничная мука:1 стакан;Яблоко:7 штук;Растительное масло:1 столовая ложка;Разрыхлитель:½ чайные ложки;";Разогреть духовку. Отделить белки от желтков. Белки взбить в крепкую пену, постепенно добавляя сахар.Продолжать взбивать, добавляя по одному желтки, затем гашеную соду и муку. Тесто по консистенции должно напоминать сметану.Смазать противень растительным маслом. Вылить половину теста на противень, разложить равномерно нарезанные дольками яблоки, залить второй половиной теста.Поместить противень в разогретую духовку. 3 минуты подержать при температуре 200 градусов, затем убавить до 180 и выпекать 20-25 минут.
Лазанья классическая с мясом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120131082527/130715011534/p_O.jpg;40;965;6;"Мясной фарш:600 г;Соус болоньезе:600 г;Сливочное масло:60 г;Пшеничная мука:2,5 столовые ложки;Оливковое масло:2 столовые ложки;Молоко:750 мл;Готовые сухие листы лазаньи:10 штук;Твердый сыр:500 г;";В сотейник положить сливочное масло и 2 ложки растительного масла, растопить. Постепенно добавлять муку и размешивать так, чтобы не оставалось комочков.Когда вся мука вмешана, влить все молоко. Убавить огонь и томить до нужной консистенции: не жидкой, но и не слишком густой. Консистенция нежирной сметаны.На сковороде раскалить оливковое масло. Добавить мясной фарш (лучше свинина+телятина).Фарш жарить до полуготовности. Влить в него соус болоньезе, посолить и поперчить по вкусу.Духовку разогреть до 180 градусов. Форму смазать сливочным маслом. На дно вылить немного соуса бешамель, чуть-чуть, только чтобы покрыть дно.Выложить пласты (не вареные). На пласты выложить получившийся фарш (не жалеем!), на фарш — натертый сыр. На сыр — соус бешамель.Соуса нужно выкладывать столько, сколько необходимо, на ваш взгляд, чтобы лазанья получилась сочной. Поверх соуса выложить сухие листы лазаньи. Повторить процедуру.Последний слой листов промазать соусом бешамель и сверху щедро засыпать сыром. Дать постоять минут 7–10. Поставить в духовку. Печь 30 минут.
Тонкие блины на молоке;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130212102403/130313131925/p_O.jpg;40;733;4;"Пшеничная мука:400 г;Сахар:2 столовые ложки;Куриное яйцо:5 штук;Молоко:1 л;Соль:на кончике ножа;Растительное масло:2 столовые ложки;";Взбейте яйца с сахаром.Постепенно введите муку и соль, чередуя с молоком и аккуратно размешайте до однородной массы.Оставьте на 20 минут.Добавьте в тесто растительное масло и жарьте блины на сильно разогретой сковороде.
Американский тыквенный пирог с корицей;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120214140149/121007182350/p_O.jpg;120;652;8;"Пшеничная мука:400 г;Сливочное масло:250 г;Куриное яйцо:3 штуки;Тыква:900 г;Сахар:200 г;Сливки 30%-ные:200 мл;Корица:по вкусу;Ванилин:по вкусу;Соль:по вкусу;";Просеять муку и соль в глубокую миску. Перетереть между ладоней с мягким маслом, чтобы смесь напоминала хлебные крошки, затем добавить слегка взбитое яйцо и замесить тесто. Скатать его в шар, завернуть в пленку и отправить в холодильник на 30–50 минут.Очистить тыкву, удалить семена. Нарезать мякоть кубиками. Положить в кастрюлю с толстым дном или сотейник, добавить немного воды и тушить до мягкости и полного испарения жидкости. Блендером измельчить мякоть в однородную массу. Для пущей нежности получившееся пюре можно протереть через сито.Раскатать тесто на слегка присыпанной мукой поверхности и застелить им круглую низкую форму диаметром около 30 см. Поверх теста положить лист бумаги для запекания и засыпать любую крупу. Это позволит коржу равномерно пропечься. Выпекать в течение 15 минут при 190 градусах.Выложить тыквенное пюре в глубокую миску, взбить с двумя яйцами, сахаром, сливками, пряностями и солью. Вылить смесь в форму с запеченным тестом. Выпекать пирог 50–55 минут при 180 градусах. Когда пирог остынет, его можно смело разрезать на порции.
Азу по-татарски;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213185439/120213185648/p_O.jpg;30;525;4;"Говядина:500 г;Репчатый лук:5 головок;Соленые огурцы:3 штуки;Томатная паста :2 столовые ложки;Картофель:1 кг;Мясной бульон:1 стакан;Чеснок:3 зубчика;";Мясо промыть, нарезать соломкой и слегка обжарить в казане в разогретом растительном масле.Добавить порезанный тонкими полукольцами лук и обжаривать мясо с луком до мягкости лука.Добавить томатную пасту, мелко нарезанные или тертые на крупной терке огурцы. Залить водой или бульоном и тушить под крышкой до полной готовности мяса.В отдельной сковороде обжарить нарезанный соломкой картофель.Когда картофель будет почти готов, переложить его в казан с тушеным мясом, добавить, соль, перец, лавровый лист и пропущенный через чеснокодавилку или мелко порезанный чеснок.Осторожно перемешать и тушить картофель с мясом до готовности примерно 5-7 минут.
Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/130829212936/130904132758/p_O.jpg;7;341;4;"Молотый черный перец:по вкусу;Консервированная фасоль:400 г;Соль:по вкусу;Лимон:1 штука;Чеснок:2 зубчика;Оливковое масло:50 мл;Рукола:100 г;Творожный сыр:200 г;Красный лук:50 г;";Вскрыть две банки красной фасоли в собственном соку, слить сок и промыть фасоль холодной водой. Желающие использовать не баночную, а самостоятельно сваренную фасоль должны задуматься о приготовлении этого салата еще с вечера. Сначала замочить бобы на ночь, а потом варить их на медленном огне до готовности.Готовую фасоль смешать с мелко нарубленным красным луком, зеленью, например, рукколы (которую для удобства поедания нужно предварительно изорвать руками), давленым чесноком, оливковым маслом, лимонным соком и творожным сыром.Посолить, поперчить, дать продуктам две минуты притереться друг к другу и подавать к столу вместе с бокалом Nobile di Montepulciano, если вино осталось с вечера.
Пирог «Зебра»;https://eda.ru/img/eda/c88x88/s1.eda.ru/StaticContent/Photos/120213181923/120213182230/p_O.jpg;30;1244;4;"Сахар:2 стакана;Куриное яйцо:5 штук;Сливочное масло:200 г;Сметана:1 банка;Пшеничная мука:2 стакана;Какао-порошок:2 столовые ложки;Гашеная сода:1 чайная ложка;";Яйца взбить с сахаром до белой пены. Добавить 2 стакана просеянной муки, соду, растопленное остывшее сливочное масло, сметану и тщательно перемешать (лучше миксером).Тесто разделить на две равные части. В одну часть добавить 2 столовые ложки муки, в другую 2 столовые ложки какао. Перемешать, чтобы не было комочков. Тесто должно быть консистенции негустой сметаны.Широкую форму (26–28 см), смазать маслом. Вливать в центр поочередно небольшие порции разного теста (по столовой ложке). Не перемешивать.Выпекать в предварительно разогретой духовке при температуре 200 градусов в течение получаса. Если верх пирога уже пропечется, а середина еще нет — следует накрыть пирог фольгой, уменьшить температуру до 180 градусов и выпекать до готовности.
